key,carte,shape,image,text_fr,text_en,desc_fr,desc_en,example_fr,example_en,latin,proverbe,link_fr,link_en
1.2.3.4.2,,circle,,Preuve par le droit,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/157/Rights-To-Ought-Fallacy,
1.2.3.5,,circle,,Sophismes d'argent,,,,,,,,,
1.2.3.5.1,,circle,,Raison du plus riche (ad crumenam),,,,,,,,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,
1.2.3.5.2,,circle,,Raison du plus pauvre (ad lazarum),,,,,,,,https://fr.wikipedia.org/wiki/Argumentum_ad_lazarum,
1.3,,circle,,Surinterprétation,,,,,,,,,
1.3.1,,circle,,Sophisme ludique,,,,,,,,https://en.wikipedia.org/wiki/Ludic_fallacy,
1.3.1.1,,circle,,sophisme quantitatif,,,,,,,,https://en.wikipedia.org/wiki/McNamara_fallacy,
1.3.1.2,,circle,,Biais rétrospectif,,,,,,,,https://fr.wikipedia.org/wiki/Biais_r%C3%A9trospectif,
1.3.1.2.1,,circle,,Sophisme de l'historien,,,,,,,,https://en.wikipedia.org/wiki/Historian%27s_fallacy,
1.3.1.2.2,,circle,,Déterminisme rétrospectif,,,,,,,,https://en.wikipedia.org/wiki/Retrospective_determinism,
1.3.1.2.3,,circle,,Clarivoyance rétroactive,,,,,,,,http://skepdic.com/retroactiveclairvoyance.html,
1.3.1.3,,circle,,La pompe à intuition,,,,,,,,http://rationalwiki.org/wiki/Intuition_pump,
1.3.1.4,,circle,,Sophisme etymologique,,,,,,,,https://en.wikipedia.org/wiki/Etymological_fallacy,
1.3.1.5,,circle,,Simplification abusive,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#reductive,
1.3.1.6,,circle,,Sophisme de l'expérience cruciale,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#crucial_experiment,
1.3.1.7,,circle,,Fausse implication,,,,,,,,http://skepdic.com/falseimplication.html,
1.3.2,,circle,,Mauvaises raisons,,,,,,,,http://www.fallacyfiles.org/badreasn.html,
1.3.2.1,,circle,,Argument du sophisme,,,,,,,,http://www.fallacyfiles.org/fallfall.html,
1.3.2.1.1,,circle,,Substituer des explications pour des prémisses,,,,,,,,http://rationalwiki.org/wiki/Substituting_explanation_for_premise,
1.3.2.2,,circle,,A qui profite le crime? (Cui Bono),,,,,,,,https://fr.wikipedia.org/wiki/Cui_bono,
1.3.2.2.1,,circle,,Suivez l'argent,,,,,,,,https://en.wikipedia.org/wiki/Follow_the_money,
1.3.2.3,,circle,,Appel au motif,,,,,,,,https://en.wikipedia.org/wiki/Appeal_to_motive,
1.3.2.3.1,,circle,,Appel à l'intention éditoriale,,,,,,,,https://en.wikipedia.org/wiki/Authorial_intent#New_Criticism,
1.3.2.3.2,,circle,,Procès d'intention,,,,,,,,https://fr.wikipedia.org/wiki/Proc%C3%A8s_d%27intention,
1.3.2.3.3,,circle,,Sophisme psychogénétique,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#psycho,
1.3.2.3.3.1,,circle,,Ad iram,,,,,,,,http://rationalwiki.org/wiki/Ad_iram,
