PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
472,2.3.3.5.7,5,,,,Désarroi,8,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
473,2.3.3.5.7.1,6,,,,Facepalm,8,,,0,https://fr.wikipedia.org/wiki/Facepalm,,,0,,0,,0,,,,,,,,,,circle,,,
474,2.3.3.5.7.2,6,,,,Se tourner les pouces,21,,,0,https://fr.wikipedia.org/wiki/Gestuelle_des_doigts_et_des_mains#Pouce,,,0,,0,,0,,,,,,,,,,circle,,,
475,2.3.3.5.7.3,6,,,,Serrer les poings,17,,,0,https://fr.wikipedia.org/wiki/Gestuelle_des_doigts_et_des_mains#Serrer_les_poings,,,0,,0,,0,,,,,,,,,,circle,,,
476,2.3.3.5.7.4,6,,,,Mains portées au visage,23,,,0,https://fr.wikipedia.org/wiki/Gestuelle_des_doigts_et_des_mains#Mains_port.C3.A9es_au_visage,,,0,,0,,0,,,,,,,,,,circle,,,
477,2.3.3.5.7.5,6,,,,Être encombré par ses mains,27,,,0,https://fr.wikipedia.org/wiki/Gestuelle_des_doigts_et_des_mains#.C3.8Atre_encombr.C3.A9_par_ses_mains,,,0,,0,,0,,,,,,,,,,circle,,,
478,2.3.3.6,4,,,,Apparence physique,18,,Appearance,10,https://en.wikipedia.org/wiki/Human_physical_appearance,https://en.wikipedia.org/wiki/Human_physical_appearance,Vous comptez sur votre apparence pour influencer l'opinion de votre auditoire.,78,Using appearance to influence an audienc's opinion.,51,,0,,,Liens un peu trop généraux.,,,,,,,circle,,,
479,2.3.3.6.1,5,,,,Artéfact,8,,,0,https://en.wikipedia.org/wiki/Cultural_artifact,,,0,,0,,0,,,Il dit qu'il ne voit pas le rapport,,,,,,,circle,,,
480,2.3.3.6.2,5,,,,Habillement,11,,Clothing,8,,https://en.wikipedia.org/wiki/Nonverbal_communication#Clothing,Vous utilisez votre manière de vous habiller pour transmettre des messages non-verbaux.,87,Using clothing to communicate.,30,,0,,,,,,,,,,circle,,,
481,2.3.3.7,4,,,,Proxémie,8,,Proxemy,7,https://fr.wikipedia.org/wiki/ProxA13%A9mie,https://en.wikipedia.org/wiki/Proxemics,Vous jouez sur la distance interpersonnelle lors d'une intraction.,66,Playing with interpersonal distances while interacting.,55,,0,,,,,,,,,,circle,,,
482,2.3.3.8,4,,,,Posture,7,,Posture,7,,https://en.wikipedia.org/wiki/Posture_(psychology),Vous utilisez la posture corporelle pour communiquer.,53,Using body posture to communicate.,34,,0,,,,,,,,,,circle,,,
483,2.3.3.8.1,5,,,,Akimbo,6,,Akimbo,6,,https://en.wikipedia.org/wiki/Akimbo,"Vous vous placez les mains sur les hanches, coudes écartés.",59,Taking up a position in which the hands are on the hips and the elbows are bowed outward.,89,,0,,,,,,,,,,circle,,,
484,2.3.3.8.2,5,,,,Bras croisés,12,,Crossed arms,12,,http://changingminds.org/techniques/body/parts_body_language/arm_body_language.htm#cro,"Vous croisez les bras, dans un symbole défensif de fermeture.",61,"Crossing one's arms as if to symbolize a closed, defensive shield.",66,,0,,,,,,,,,,circle,,,
485,2.3.3.9,4,,,,Haptique,8,,Haptics,7,,https://en.wikipedia.org/wiki/Haptic_communication,Vous communiquez par le toucher,31,Communicating via the sense of touch.,37,,0,,,,,,,,,,circle,,,
486,3,1,ok,1,,Erreur mathématique,19,,Mathematical error,18,,https://en.wikipedia.org/wiki/Mathematical_fallacy,Votre raisonnement comporte des erreurs quantitatives.,54,Using arguments with quantitative errors.,41,,0,,,,,,,,,,square,géant et lilliputiens,#33F66F,
487,3.1,2,ok,1,,Généralisation abusive,22,,Faulty generalisation,21,https://fr.wikipedia.org/wiki/G%C3%A9n%C3%A9ralisation#Le_sophisme_de_la_g.C3.A9n.C3.A9ralisation_abusive,https://en.wikipedia.org/wiki/Faulty_generalization,Vous élargissez exagérément la portée de votre raisonnement.,60,Using a generalisation rule which is invalid in the considered situation.,73,Mes chats ont toujours été très doux ; les chats sont donc des animaux inoffensifs.,83,All my cats have been sweethearts. I think cats are inoffensive animals.,72,,,Tous mes amis vont voter pour ce candidat ; il est donc bien parti pour gagner !,"Most of my friends will vote for this candidate, so I believe he'll win the election.",Une hirondelle ne fait pas le printemps.,,,circle,peinture au pistolet,,
488,3.1.1,3,ok,2,,Échantillon biaisé,18,,Sampling bias,13,https://fr.wikipedia.org/wiki/Échantillon_biaisé,,"Votre argumentation repose sur une enquête statistique dont les informations sont erronées, partiales ou invérifiables.",119,Drawing conclusions from a skewed sample. ,42,"Ce yaourt est le meilleur, puisqu'il a été plébiscité par quatre-vingts pour cent des consommateurs.",100,80% of our customers declare that this yoghurt has the best price-quality ratio.,80,,,"Ma réflexion se base sur ce sondage auto-déclaratif, selon lequel soixante-quinze pour cent de la population rejettent les immigrés.","75% of the people who, on a voluntary basis, filled this questionnaire don't like migrants.","Les cimetières sont remplis de gens qui se croyaient indispensables.""",,,circle,,,
489,3.1.1.1,4,,,,Echantillon non représentatif,29,,,0,http://www.fallacyfiles.org/biassamp.html,,Vous argumentez à partir d'un échantillon non-représentatif. ,61,,0,Un français sur trois à qui nous avons demandé nous a déclaré ne pas aimer les immigrés.,88,,,,,,,,,,circle,,,
490,3.1.1.1.1,5,,,,Généralisation hâtive,21,,,0,https://en.wikipedia.org/wiki/Hasty_generalization,,Vous argumentez à partir d'une généralisation sans chercher de contre exemple. ,79,,0,Cet homme a déjà eu à faire avec la justice. Il est certainement coupable. ,75,,,,,,,,,,circle,,,
491,3.1.1.1.1.1,6,,,,Argument par les petits nombres,31,,,0,http://www.don-lindsay-archive.org/skeptic/arguments.html#numbers,,Vous argumentez à partir d'une généralisation sur un nombre trop faible de cas. ,80,,0,J'ai tiré trois fois de suite le nombre 7 aux dés. Je ne peux pas perdre ce soir. ,82,,,,,,,,,,circle,,,
492,3.1.1.1.1.2,6,ok,2,,Généralisation hâtive,21,,Hasty generalization,20,,https://en.wikipedia.org/wiki/Hasty_generalization,Vous déduisez une règle globale d'un échantillon trop restreint.,64,Inferring a general rule from too small a sample.,49,"Depuis l'obtention de mon permis de conduire, j'ai eu trois accidents ; je ne serai donc jamais un bon conducteur.",114,"I met 3 Breton people, they were friendly. Breton people are friendly. 
",72,,,,,"""Il vaut mieux être seul que mal accompagné.""",4.3.1,,circle,,,
493,3.1.1.1.2,5,,,,Appel à la coïncidence,22,,,0,https://en.wikipedia.org/wiki/Slothful_induction,,Vous argumentez en refusant de faire une généralisation. ,57,,0,"J'ai eu 12 accidents en 6 mois, mais cela ne va pas continuer. ",63,,,,,,,,,,circle,,,
494,3.1.1.2,4,ok,1,,Cueillette de cerises,21,,Cherry picking,14,https://fr.wikipedia.org/wiki/Cueillette_de_cerises,https://en.wikipedia.org/wiki/Cherry_picking,Vous ignorez les faits qui ne vont pas dans le sens de votre argumentation.,75,Selectively pointing to evidence that supports a position.,58,"Maman n'a pas dit non, j'ai eu une bonne note et ce bonbon est rose, ma couleur préférée : s'il te plaît, achète-le-moi !",121,"Mom didn't say no, I got a good mark and it's my favourite color. Please buy me this candy!",91,,,,,"Goutte à goutte, l'eau creuse la pierre.""",,,circle,,,
495,3.1.1.2.1,5,,,,Détail trompeur (Sophisme Volvo),32,,,0,https://en.wikipedia.org/wiki/Misleading_vividness,,Votre argument aboutit à une mauvaise conclusion à partir d'un détail. ,71,,0,Il portait une rose à la boutonnière. Il est forcément socialiste. ,67,,,,,,,,,,circle,,,
496,3.1.1.2.2,5,,,,Sophisme de l'apex,18,,,0,http://rationalwiki.org/wiki/Apex_fallacy,,Votre argument généralise à partir du meilleur dans une catégorie donnée. ,74,,0,Il est noir donc il court vite. ,32,,,,,,,,,,circle,,,
497,3.1.1.2.2.1,6,,,,Cueillette des noix,19,,,0,http://rationalwiki.org/wiki/Nutpicking,,Votre argument généralise à partir d'un cas particulier de la pire espèce dans un ensemble donné. ,98,,0,On ne peut pas faire confiance aux Républicains. Voyez comme ils affichent leur arrogance et leur racisme. ,107,,,,,,,,,,circle,,,
498,3.1.1.2.3,5,,,,Biais de représentativité,25,,,0,https://fr.wikipedia.org/wiki/Biais_de_représentativité,,Vous argumentez à partir d'informations personnalisées plutôt que statistiques. ,80,,0,"Avec un tel pedigree, elle doit être guichetière dans une banque et active dans le mouvement féministe. ",104,,,,,,,,,,circle,,,
499,3.1.1.2.4,5,,,,Biais des survivants,20,,,0,https://en.wikipedia.org/wiki/Survivorship_bias,,Votre argument s'appuie sur des cas avérés mais néglige tous les essais et erreurs préalables. ,95,,0,Il réussira sans problème puisque son collègue l'a déjà fait. ,62,,,,,,,,,,circle,,,
500,3.1.1.2.4.1,6,,,,Sophisme du toupée,18,,,0,http://rationalwiki.org/wiki/Toupee_fallacy,,"Votre argument s'appuie sur une définition fallacieuse et ne fait référence qu'à une sous  catégorie: les mauvaises perruques, puisque les bonnes perruques ne sont pas visibles. ",178,,0,Toutes les perruques paraissent fausses. Je n'ai jamais vu une perruque dont on ne pouvez pas dire qu'elle était fausse. ,121,All toupées look fake; I've never seen one that I couldn't tell was fake.,,,,,,,,,circle,,,
501,3.1.1.2.5,5,,,,Sophisme d'exclusion,20,,,0,http://www.onegoodmove.org/fallacy/exclus.htm,,Votre argument exclut des informations importantes de sa prémisse. ,67,,0,C'est un gars du Nord. Il a probablement dû voter pour le Front National. ,74,,,,,,,,,,circle,,,
502,3.1.2,3,ok,1,Sophismes des accidents,Secundum quid,13,Accident Fallacies,Secundum quid,13,,https://en.wikipedia.org/wiki/Secundum_quid,Vous appliquez un principe général sans tenir compte du caractère particulier de la situation.,94,"Applying a general principle, without paying attention to specific conditions.",78,Ma voiture peut rouler à cent trente kilomètres à l'heure ; traverser la ville ne me prendra donc que quelques minutes.,119,"My car goes at 130 km an hour, I only need a few minutes to cross the city.
",76,"autre lien mieux expliqué: http://www.blackwellreference.com/public/tocnode?id=g9781405106795_chunk_g97814051067957_ss1-23
utre bonne formulation: (cosmovisions.com/sophisme.htm",a dicto secundum quid ad dictum simpliciter,,,,,,circle,,,
503,3.1.2.1,4,,,,Accident / Détruire l'exception (a Dicto simpliciter),53,,,0,https://en.wikipedia.org/wiki/Accident_(fallacy),,Vous argumentez en faisant une généralisation abusive qui ne prend pas en compte la possibilité d'exceptions qui confirment la règle.  ,135,,0,Couper les gens avec un couteau est un crime. Les chirurgiens coupent les gens avec un couteau. Donc les chirurgiens sont des criminels. ,137,,,,,,,,,,circle,,,
504,3.1.2.1.1,5,ok,,,Sophisme du vrai Écossais,25,,No true Scotsman,16,"https://fr.wikipedia.org/wiki/Sophisme_du_vrai_%C3%89cossais
",https://en.wikipedia.org/wiki/No_true_Scotsman,"Afin de réfuter un contre-exemple, vous modifiez les contours de l'idée générale que vous soutenez.",99,Saving a generalization from a counterexample by changing its definition in order to exclude the latter.,104,"- Tous les Écossais sont roux.
- Angus est écossais mais il n'est pas roux. 
- Ce n'est donc pas un vrai Écossais.",114,"- No Scotsman adds sugar to porridge.
- Angus,a Scotsman, adds sugar to porridge.
- Angus is not a true Scotsman.",113,"ref:  Antony Flew 2. En 1975, il écrit dans son livre Thinking About Thinking :",,,,"Avec un mensonge on va loin, mais sans espoir de retour.""",,,circle,,,
505,3.1.2.2,4,,,,Accident Converse (généraliser l'exception),43,,,0,https://en.wikipedia.org/wiki/Converse_accident,,Vous argumentez en faisant une généralisation abusive qui porte sur l'exception à la règle générale. ,101,,0,"Si on autorise les personnes autorisent les personnes souffrant de sclérose en plaque à consommer de la marijuana, alors tout le monde devrait y être autorisé. ",160,,,,,,,,,,circle,,,
506,3.1.2.3,4,,,,Généralisation excessive,24,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
507,3.1.2.3.1,5,,,,Stéréotype,10,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/167/Stereotyping,,Vous argumentez à partir des croyances qui vous permettent d'organiser les monde en ensembles. ,95,,0,Les Français embrassent bien. Pierre est Français. Il faut que tu obtiennes un rendez-vous. ,92,,,,,,,,,,circle,,,
508,3.1.2.4,4,,,,Exception écrasante,19,,,0,https://en.wikipedia.org/wiki/Overwhelming_exception,,Vous argumentez sur la base d'une généralisation qui passe sous silence des exceptions si massives qu'elles remettent en question votre argument. ,146,,0,,0,"All right, but apart from the sanitation, the medicine, education, wine, public order, irrigation, roads, a fresh water system, and public health, what have the Romans ever done for us?"" – Monty Python's Life of Brian",,,,,,,,,circle,,,
509,3.1.3,3,ok,2,Qualification erronée XXX bof. ni vulgarisé ni précis proposition: confusion du tout et des parties,Transfert illicite,18,,Illicit transference,20,http://misterming.free.fr/sophismes/#comp,https://en.wikipedia.org/wiki/Fallacies_of_illicit_transference,Vous considérez qu'une propriété s'appliquant à un ensemble dans sa globalité s'applique également à chacun des éléments qui le composent ou inversement.,153,Transferring the properties of a set to its member or vice-versa.,65,Un camion consomme plus de carburant qu'une voiture ; on peut en déduire que le volume global de carburant consommé par les camions est supérieur à celui que consomment les voitures.,182,A machine made of light parts is light. A heavy machine must be made of heavy parts.,84,"ref: Hurley, Patrick (2014), A Concise Introduction to Logic (12th ed.), Cengage Learning, pp. 161, 172",,,,,,,circle,,,
510,3.1.3.1,4,ok,2,,Sophisme de composition,23,,Compositional fallacy,21,https://fr.wikipedia.org/wiki/Sophisme_de_composition,,Vous considérez qu'une propriété s'appliquant aux éléments distincts d'un ensemble s'applique automatiquement à l'ensemble tout entier.,135,Atrributing properties of the parts of a set to the whole set.,62,Toutes ces plantes vont mourir un jour ; ce jardin est donc voué à disparaître.,79,"All these plants will die one day, so this garden will disappear.",65,"Il y a une question sur l'identité humaine, sachant quen XX combien?) de temps toutes nos cellules sont mortes et remplacées.",,,,,,,circle,,,
511,3.1.3.1.1,5,,,,Théorie de la récapitulation,28,,,0,https://fr.wikipedia.org/wiki/ThA13%A9orie_de_la_rA13%A9capitulation,,Votre argument suppose que les évolutions biologiques des espèces sont cumulatives.,83,,0,"Cette espèce a des poumons, son ancêtre devait une créature marine. ",68,,,,,,,,,,circle,,,
512,3.1.3.1.2,5,,,,Sophisme métonymique/synecdotique,33,,,0,http://www.cs.oswego.edu/~blue/xhx/books/semiotics/glossaryM/section111/main.html,,Vous argumentez sur la base d'une partie qui représente le tout. ,65,,0,"Si j'en juge à son pied et sa tenue, cette femme doit être très belle. ",71,,,,,,,,,,circle,,,
513,3.1.3.2,4,ok,1,,Sophisme de division,20,,Division fallacy,16,https://en.wikipedia.org/wiki/Fallacy_of_division,,Vous attribuez les qualités d'un ensemble à chacun de ses éléments.,67,Attributing properties of a whole set to each of its individual part.,69,Les tigres royaux sont voués à disparaître prématurément; ce tigre royal mourra donc jeune.,91,Bengal tigers will disappear very soon. This Bengal tiger will therefore die much too soon.,91,,,,,,,,circle,,,
514,3.1.3.2.1,5,,,,Sophisme écologique,19,,,0,https://en.wikipedia.org/wiki/Ecological_fallacy,,Votre argument infère une corrélation entre des cas particuliers à partir des propriétés générales des ensembles auxquels ils appartiennent. ,141,,0,"80% des étudiants ont trouvé un emploi dans les 6 mois, donc Jean a certainement déjà trouvé un emploi. ",104,,,,,,,,,,circle,,,
515,3.1.3.2.1.1,6,,,,Paradoxe de simpson,19,,,0,https://fr.wikipedia.org/wiki/Paradoxe_de_Simpson,,,0,,0,,0,,,,,,,,,,circle,,,
516,3.1.3.2.1.2,6,,,,Moyenne et médiane,18,,Votre argument s'appuie sur un moyenne plutôt que la médiane. ,62,https://en.wikipedia.org/wiki/Ecological_fallacy#Mean_and_median,,Votre argument s'appuie sur un moyenne plutôt que la médiane. ,62,,0,Cette classe a eu 7/20 de moyenne générale en maths. Inutile d'en choisir un au hasard pour résoudre ce problème. ,114,,,,,,,,,,circle,,,
517,3.1.3.2.1.3,6,,,,Moyenne de groupe et totale,27,,,0,https://en.wikipedia.org/wiki/Ecological_fallacy#Group_and_total_averages,,Votre argument déduit la moyenne pour un sous ensemble en divisant la moyenne de l'ensemble général par la population. ,119,,0,"Il a 30 000 suicides par an sur une population de 30 millions et il y a 10% de Protestants, donc il y a 300 Protestants qui se suicident par an. ",145,,,,,,,,,,circle,,,
518,3.1.3.2.1.4,6,,,,Correlations individuelles et agrégats,38,,,0,https://en.wikipedia.org/wiki/Ecological_fallacy#Individual_and_aggregate_correlations,,,0,,0,,0,,,,,,,,,,circle,,,
519,3.1.3.2.2,5,,,,Réductionisme glouton,21,,,0,https://en.wikipedia.org/wiki/Greedy_reductionism,,Votre argument s'appuie sur les éléments d'une analyse trop rapide. ,68,,0,"Si le tueur est passé par la porte c'est qu'il était trop grand pour passer par la fenêtre, et donc que c'est un homme. ",120,,,,,,,,,,circle,,,
520,3.2,2,ok,1,,Mauvaise interprétation,23,,Interpretation fallacy,22,https://fr.wikipedia.org/wiki/Régression_fallacieuse,,Vous établissez des relations inexistantes entre divers éléments.,65,Making use of erroneous or non-existent relations.,50,Les apparitions de Nicolas Cage au cinéma ces dix dernières années coïncident avec des pics de noyades en piscine.,114,The rate of student suicides follows the same pattern as that of Nicholas Cage's appearances on screen.,103,,,,,,,,circle,,,
521,3.2.1,3,ok,2,,Relation infondée,17,,Spurious relationship,21,,https://en.wikipedia.org/wiki/Spurious_relationship,Vous attribuez un sens à une simple coïncidence.,48,Claiming causality between coincident facts when that coincidence could be explained differently.,97,"Comme j'étais très malade, j'ai prié et cela m'a guéri.",55,I was sick. I prayed and then I felt better. ,45,,,,,,,,circle,,,
522,3.2.1.1,4,,,,Cum Hoc Ergo Propter Hoc,24,,,0,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,,Vous argumentez que ce qui vient après implique ce qui vient avant. ,68,,0,Plus les moulins à vents tournent vite et plus il y a de vent. Donc le vent est causé par les moulins à vent. ,110,,,,,,,,,,circle,,,
523,3.2.1.2,4,,,,Post Hoc Ergo Propter Hoc,25,,,0,78eafdf3-71ee-4032-a926-faf16637fc1d,,Vous argumentez que ce qui vient avant implique ce qui vient après. ,68,,0,"Le merle chante juste avant le lever du soleil, donc le chant du merle fait se lever le soleil. ",96,,,,,,,,,,circle,,,
524,3.2.1.3,4,ok,2,,Sophisme de régression,22,,Regressive fallacy,18,http://www.fallacyfiles.org/regressf.html,http://www.skepdic.com/regressive.html,Vous attribuez une cause erronée à ce qui n'est que la fin d'une période exceptionnelle.,88,"Explaining a mere movre from extremes to average, caused by natural fluctuation, by a cause you intend to so prove.",115,"Il y a peu, au casino, j'ai gagné trois fois le jackpot ; mais depuis que j'ai bu un jus de tomate, je perds sans discontinuer : maudit jus de tomate !",151,I won the lottery three times in row. Then I had tomato juice and I haven't won anything. Tomato juice is bad luck.,115,,,,,,,,circle,,,
525,3.2.1.4,4,,,,Post désignation,16,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/142/Post-Designation,,Vous argumentez sur la base d'une corrélation à l'intérieur d'un échantillon donné mais sans déclarer préalablement les corrélations attendues. ,144,,0,"J'ai trouvé que 9 de mes élèves sur 10 étaient fils ou fille unique, donc nous allons vers une société de fils et de filles uniques. ",133,,,,,,,,,,circle,,,
526,3.2.1.4.1,5,ok,1,,Tireur d'élite texan,20,,Texas sharpshooter,18,https://fr.wikipedia.org/wiki/Sophisme_du_tireur_d'%C3%A9lite_texan,http://www.skepdic.com/texas.html,Vous rassemblez des faits similaires et leur trouvez une explication que vous prétendez avoir démontrée.,104,"Outlining a pattern in data, then inventing for it an explanation which you claim to have proven.",97,"On trouve des pyramides au Mexique, en Égypte et au Cambodge, ce qui prouve qu'une même entité a inspiré tous ces peuples.",122,"We found pyranmids in Egypt, Mexico and Cambodia. It must be that an alien taught these 3 distinct civilizations. 
",115,liens t: cueillette des cerises illusion des séries,,Les filles sont sous-représentées dans les filières liées aux mathématiques ; les garçons sont donc naturellement plus doués qu'elles dans cette discipline.,Women are under-represented in math studies. It must be that they have a less mathematical brain than men.,,,,circle,,,
527,3.2.1.4.2,5,,,,Comparaisons multiples,22,,,0,http://www.fallacyfiles.org/multcomp.html,,Vous basez votre argument sur une comparaison probabiliste sans prendre en compte l'accumulation de l'interval de confidence dans la multiplication des comparaisons. ,166,,0,La probabilité de souffrir de migraines augmente par 5 pour ceux qui vivent à moins de 20 mètres d'une antenne télécom. ,120,,,,,,,,,,circle,,,
528,3.2.1.4.3,5,,,,Argument chausse-pied,21,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/161/Shoehorning,,Votre argument incorpore des évènements à votre propre agenda.,62,,0,Le travail coûte trop cher en France. La preuve est que nous n'avons pas remporté cet appel d'offre. ,101,,,,,,,,,,circle,,,
529,3.2.1.4.4,5,,,,Statistiques occultes,21,,,0,http://skepdic.com/occultstats.html,,Votre argument s'appuie sur des statistiques pour justifier une croyance préalable irrationnelle. ,98,,0,"Vos ascendants astrologiques sont compatibles, et un mariage paisible s'offre à vous.  ",87,,,,,,,,,,circle,,,
530,3.2.2,3,ok,2,,Probabilités faussées,21,,Probabilistic fallacy,21,,http://www.fallacyfiles.org/probfall.html,Votre argumentation s'appuie sur une utilisation erronée des lois mathématiques de calcul de l'aléatoire.,105,"Using arguments based on erroneous probabilistic reasoning.
",60,"L'ADN laissé par l'auteur de ce crime présente une particularité que l'on ne trouve que chez dix pour cent de la population, singularité également présente dans l'ADN de l'accusé que voici ; on peut donc affirmer à quatre-vingt-dix pour cent que cet homme est coupable.",269,"The culprit and the suspect share a DNA trait that only 10% of the people have. Therefore, the suspect has a 90% chance of being guilty.",136,,,,,,,,circle,dés et cartes,,
531,3.2.2.1,4,,,,Manipulation des probabilités,29,,,0,https://en.wikipedia.org/wiki/Appeal_to_probability,,Votre argument prend pour un fait établit ce qui n'est qu'une probabilité.,74,,0,"Si je ne prends pas mon parapluie, alors il va pleuvoir. ",57,,,,,,,,,,circle,,,
532,3.2.2.1.1,5,,,,Au cas où,9,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/116/Just-In-Case-Fallacy,,"Votre argument s'appuie sur la pire probabilité, plutôt que la probabilité moyenne. ",84,,0,"Vous devriez nous acheter une alarme, on ne sait jamais de nos jours. ",70,,,,,,,,,,circle,,,
533,3.2.2.2,4,,,,Probabilités conditionnelles,28,,,0,,,,0,,0,,0,,,,,,,,,,circle,,,
534,3.2.2.2.1,5,,,,Oubli de la fréquence de base,29,,,0,https://fr.wikipedia.org/wiki/Oubli_de_la_frA13%A9quence_de_base,,Votre argument oublie d'inclure la fréquence de base d'un événement dans la détermination de la probabilité de cet événement. ,126,,0,"Nous avons 1% de la population qui fichée comme ""terroriste"" et notre système de vidéosurveillance est fiable à 99% , donc nous avons 99% de chance d'attraper les terroristes. ",176,,,,,,,,,,circle,,,
535,3.2.2.2.2,5,,,,Argument de l'apocalypse,24,,,0,https://fr.wikipedia.org/wiki/Argument_de_l%27apocalypse,,,0,,0,HELP !!!,8,,,,,,,,,,circle,,,
536,3.2.2.2.3,5,,,,sophisme du procureur,21,,,0,https://fr.wikipedia.org/wiki/Sophisme_du_procureur,,Vous faites un argument sur la base de probabilités conditionnelles où vous confondez une probabilité générale (gagner au loto) et une probabilité liée à un ensemble (seul le tricheurs peuvent gagner au loto). ,210,,0,On sait que le coupable a un trait ADN que n'ont que 10% des gens. L'accusé a ce trait. Donc l'accusé a 90% de chances d'être coupable. ,136,,,,,,,,,,circle,,,
537,3.2.2.2.4,5,,,,Confusion de l'inverse,22,,,0,https://en.wikipedia.org/wiki/Confusion_of_the_inverse,,Votre argument s'appuie sur le renversement d'une probabilité conditionnelle avérée. ,85,,0,La plupart des accidents ont lieu dans un rayon de 20km du domicile. Donc il est plus sûr d'être au delà de 20 km de chez soi. ,127,,,,,,,,,,circle,,,
538,3.2.2.3,4,,,,La ruine du parieur,19,,,0,https://en.wikipedia.org/wiki/Gambler%27s_ruin,,"Votre argument s'appuie sur une prise de risque constante et proportionnelle au capital, tout en refusant de faire baisser ce ratio en cas de perte. ",149,,0,"J'ai toujours parié 20 % de mon capital, dans les bons et comme dans les mauvais jours. Aujourd'hui je suis en banqueroute. ",124,,,,,,,,,,circle,,,
539,3.2.2.3.1,5,ok,1,,Main chaude,11,,Hot hand fallacy,16,,http://www.fallacyfiles.org/hothandf.html,Vous évaluez des chances de succès à l'aune de la réussite de tentatives récentes. ,83,"Predicting future luck on the basis of past events.
",52,Mieux vaut ne rien entreprendre : rien ne me réussit ces temps-ci !,67,"I'd rather not initiate anything at the moment, because I've just experienced a series of failures. ",100,,la baraka,,,,,,circle,dés,,
540,3.2.2.3.2,5,,,,Erreur du parieur,17,,,0,https://fr.wikipedia.org/wiki/Erreur_du_parieur,,Vous argumentez que le prochain tirage aléatoire va corriger la déviation statistique des tirages précédents. ,110,,0,"Je viens de tirer ""pile"" sept fois de suite. La prochaine fois ne peut être que ""face"". ",88,,,,,,,,,,circle,,,
541,3.2.2.3.3,5,,,,Erreur du parrieur inverse,26,,,0,https://en.wikipedia.org/wiki/Inverse_gambler%27s_fallacy,,Vous argumentez que la faible probabilité d'un résultat implique un grand nombre de tirages préalables. ,104,,0,"Si j'ai obtenu un ""double six"" au premier tour, c'est que les dés avaient déjà été beaucoup lancé avant.",104,,,,,,,Théorie du bocal ?,,,circle,,,
542,3.2.2.3.4,5,,,,Vanité du parieur,17,,,0,https://en.wikipedia.org/wiki/Gambler%27s_conceit,,Vous argumentez que vous avez la capacité de vous retirez au meilleur moment statistique.  ,91,,0,J'arrête de parier dès que je suis dans une position favorable. ,64,,,,,,,,,,circle,,,
543,3.2.3,3,ok,2,Justification infinie,Régression infinie,18,,Infinite regress,16,https://fr.wikipedia.org/wiki/Argument_de_la_r%C3%A9gression,https://en.wikipedia.org/wiki/Infinite_regress,Vous exigez que soit prouvée la véracité de la moindre des propositions avancées par votre contradicteur.,105,"Demanding justification for each justification, in a never ending process.",74,"Admettons que Dieu ait créé l'homme ; dans ce cas, qui a créé Dieu ?",68,"But if god made Man, who made God?",34,"ref Aristotle: Aristotle, Posterior Analytics I.3 72b1–15",ad infinitum,,,"Avec un mensonge on va loin, mais sans espoir de retour.""",,,circle,,,
544,3.2.3.1,4,ok,1,Découpage de la réalité,Atomisation du continuum,24,,Continuum fallacy,17,,https://en.wikipedia.org/wiki/Continuum_fallacy,Vous niez le caractère progressif ou continu d'une réalité.,59,Denying the continuous or gradual nature of a phenomenon.,57,Quel mal peut faire une cigarette de plus ou de moins ?,55,One more cigarette is so little: what difference does it make?,62,Lien t avec le pari de Loki. Graduel est justement pas continu en math,,,,,5.1.1.2,,circle,construction de barrières,,
545,3.2.3.1.1,5,,,,Argument de la barbeXXXlien avec...,35,,,0,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/58/Argument-of-the-Beard,,Vous argumentez que deux états ont des caractéristiques exclusives de telle manière à ce que l'on ne puisse pas distinguer ces deux états. ,139,,0,"Soit l'on porte la barbe soir on ne la porte pas, donc on ne peut pas devenir barbu. ",85,,,,,,,,5.3.2.1.2.1,,circle,,,
546,3.2.3.2,4,,,,Hypothèse de l'homoncule,24,,,0,https://fr.wikipedia.org/wiki/HypothA13%A8se_de_l%27homoncule,,,0,,0,,0,,,,,,,,,,circle,,,
