!;

!key;family;rel;carte;shape;image;latin;image;text_fr;text_en;desc_fr;desc_en;example_fr;example_en;proverbe;link_fr;link_en;label

*root;Arguments fallacieux;;;diamond;;;;Arguments fallacieux;;;;;;;https://fr.wikipedia.org/wiki/Sophisme;;Arguments fallacieux
1.3.1.3;Insuffisance;;;circle;;;;La pompe à intuition;;;;;;;http://rationalwiki.org/wiki/Intuition_pump;;La pompe à intuition
1.3.1.4;Insuffisance;;;circle;;;;Sophisme etymologique;;;;;;;https://en.wikipedia.org/wiki/Etymological_fallacy;;Sophisme etymologique
1.3.1.5;Insuffisance;;;circle;;;;Simplification abusive;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#reductive;;Simplification abusive
1.3.1.6;Insuffisance;;;circle;;;;Sophisme de l'expérience cruciale;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#crucial_experiment;;Sophisme de l'expérience cruciale
1.3.1.7;Insuffisance;5.3.3.1;;circle;;;;Fausse implication;;;;;;;http://skepdic.com/falseimplication.html;;Fausse implication
1.3.2;Insuffisance;;;circle;;;;Mauvaises raisons;;;;;;;http://www.fallacyfiles.org/badreasn.html;;Mauvaises raisons
1.3.2.1;Insuffisance;;;circle;;;;Argument du sophisme;;;;;;;http://www.fallacyfiles.org/fallfall.html;;Argument du sophisme
1.3.2.1.1;Insuffisance;;;circle;;;;Substituer des explications pour des prémisses;;;;;;;http://rationalwiki.org/wiki/Substituting_explanation_for_premise;;Substituer des explications pour des prémisses
1.3.2.2;Insuffisance;;;circle;;;;A qui profite le crime? (Cui Bono);;;;;;;https://fr.wikipedia.org/wiki/Cui_bono;;A qui profite le crime? (Cui Bono)
1.3.2.2.1;Insuffisance;;;circle;;;;Suivez l'argent;;;;;;;https://en.wikipedia.org/wiki/Follow_the_money;;Suivez l'argent
1.3.2.3;Insuffisance;;;circle;;;;Appel au motif;;;;;;;https://en.wikipedia.org/wiki/Appeal_to_motive;;Appel au motif
1.3.2.3.1;Insuffisance;;;circle;;;;Appel à l'intention éditoriale;;;;;;;https://en.wikipedia.org/wiki/Authorial_intent#New_Criticism;;Appel à l'intention éditoriale
1.3.2.3.2;Insuffisance;;;circle;;;;Procès d'intention;;;;;;;https://fr.wikipedia.org/wiki/Proc%C3%A8s_d%27intention;;Procès d'intention
1.3.2.3.3;Insuffisance;;;circle;;;;Sophisme psychogénétique;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#psycho;;Sophisme psychogénétique
1.3.2.3.3.1;Insuffisance;;;circle;;;;Ad iram;;;;;;;http://rationalwiki.org/wiki/Ad_iram;;Ad iram
1.3.2.3.3.1.1;Insuffisance;2.2.2.2;;circle;;;;La colère est une faiblesse;;;;;;;https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/Stratag%C3%A8me_XXVII;;La colère est une faiblesse
1.3.2.3.3.2;Insuffisance;;;circle;;;;Ad feminam;;;;;;;http://www.thefreedictionary.com/Argumentum+ad+feminam;;Ad feminam
1.3.3;Insuffisance;;;circle;;;;Manque de parcimonie (rasoir d'Ockham);;;;;;;https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham;;Manque de parcimonie (rasoir d'Ockham)
1.3.3.1;Insuffisance;;;circle;;;;Rasoir d'Hanlon;;;;;;;http://rationalwiki.org/wiki/Hanlon%27s_razor;;Rasoir d'Hanlon
1.3.3.2;Insuffisance;;;circle;;;;Principe de charité;;;;;;;https://fr.wikipedia.org/wiki/Principe_de_charit%C3%A9;;Principe de charité
1.3.3.2.1;Insuffisance;7.3.1.2;;circle;;;;Homme de paille;;;;;;;https://fr.wikipedia.org/wiki/%C3%89pouvantail_(rh%C3%A9torique);;Homme de paille
